Ensembl Gene ID	Rat Ensembl Gene ID
ENSG00000210281	
ENSG00000176868	
ENSG00000207110	
ENSG00000223035	
ENSG00000216168	
ENSG00000216100	
ENSG00000199705	
ENSG00000223036	
ENSG00000206808	
ENSG00000202072	
ENSG00000209804	
ENSG00000199710	
ENSG00000208643	
ENSG00000209098	
ENSG00000211004	
ENSG00000210998	
ENSG00000210991	
ENSG00000210984	
ENSG00000210962	
ENSG00000210955	
ENSG00000210279	
ENSG00000213987	
ENSG00000203347	
ENSG00000210944	
ENSG00000220520	
ENSG00000208443	
ENSG00000198143	
ENSG00000202056	
ENSG00000208840	
ENSG00000196309	
ENSG00000172400	
ENSG00000213261	
ENSG00000211222	
ENSG00000211187	
ENSG00000198834	
ENSG00000208562	
ENSG00000201736	
ENSG00000207503	
ENSG00000202160	
ENSG00000201382	
ENSG00000222918	
ENSG00000207080	
ENSG00000201816	
ENSG00000207411	
ENSG00000221185	
ENSG00000199755	
ENSG00000212466	
ENSG00000201868	
ENSG00000222919	
ENSG00000221148	
ENSG00000210935	
ENSG00000206934	
ENSG00000221515	
ENSG00000207173	
ENSG00000199051	
ENSG00000222788	
ENSG00000208873	
ENSG00000213285	
ENSG00000208333	
ENSG00000203643	
ENSG00000208474	
ENSG00000208482	
ENSG00000210910	
ENSG00000221526	
ENSG00000201715	
ENSG00000221378	
ENSG00000207295	
ENSG00000202025	
ENSG00000208590	
ENSG00000210880	
ENSG00000206840	
ENSG00000202074	
ENSG00000199603	
ENSG00000223146	
ENSG00000223147	
ENSG00000220979	
ENSG00000199675	
ENSG00000206867	
ENSG00000223148	
ENSG00000211541	
ENSG00000212072	
ENSG00000203358	
ENSG00000208346	
ENSG00000165111	
ENSG00000213295	
ENSG00000203359	
ENSG00000179093	
ENSG00000210925	
ENSG00000211223	
ENSG00000223240	
ENSG00000207108	
ENSG00000212459	
ENSG00000223241	
ENSG00000202497	
ENSG00000221711	
ENSG00000207988	
ENSG00000207049	
ENSG00000221717	
ENSG00000223242	
ENSG00000211495	
ENSG00000223243	
ENSG00000201465	
ENSG00000223085	
ENSG00000207547	
ENSG00000201515	
ENSG00000200774	
ENSG00000217432	
ENSG00000210746	
ENSG00000200553	
ENSG00000212415	
ENSG00000223115	
ENSG00000212283	
ENSG00000220981	
ENSG00000206914	
ENSG00000223116	
ENSG00000221273	
ENSG00000201456	
ENSG00000199584	
ENSG00000207248	
ENSG00000221265	
ENSG00000221329	
ENSG00000208658	
ENSG00000219445	
ENSG00000208561	
ENSG00000213306	
ENSG00000217177	
ENSG00000205716	
ENSG00000213284	
ENSG00000210713	
ENSG00000200428	
ENSG00000202308	
ENSG00000207701	
ENSG00000200761	
ENSG00000212385	
ENSG00000202095	
ENSG00000207821	
ENSG00000221054	
ENSG00000212498	
ENSG00000206601	
ENSG00000200040	
ENSG00000202515	
ENSG00000200764	
ENSG00000208883	
ENSG00000207726	
ENSG00000201207	
ENSG00000202181	
ENSG00000221747	
ENSG00000212512	
ENSG00000208009	
ENSG00000222691	
ENSG00000202526	
ENSG00000200483	
ENSG00000207638	
ENSG00000207438	
ENSG00000212160	
ENSG00000201317	
ENSG00000222692	
ENSG00000222693	
ENSG00000207314	
ENSG00000206853	
ENSG00000212564	
ENSG00000201826	
ENSG00000206896	
ENSG00000222694	
ENSG00000215999	
ENSG00000212609	
ENSG00000213286	
ENSG00000208588	
ENSG00000208906	
ENSG00000197692	
ENSG00000213319	
ENSG00000176761	
ENSG00000210710	
ENSG00000213287	
ENSG00000178957	
ENSG00000213326	
ENSG00000211051	
ENSG00000197882	
ENSG00000213327	
ENSG00000177050	
ENSG00000210623	
ENSG00000213296	
ENSG00000197180	
ENSG00000213328	
ENSG00000213264	
ENSG00000213302	
ENSG00000208373	
ENSG00000216285	
ENSG00000174556	
ENSG00000204087	
ENSG00000210093	
ENSG00000208616	
ENSG00000210181	
ENSG00000203362	
ENSG00000203364	
ENSG00000210837	
ENSG00000213332	
ENSG00000211093	
ENSG00000211091	
ENSG00000188904	
ENSG00000213311	
ENSG00000210963	
ENSG00000210956	
ENSG00000210568	
ENSG00000210566	
ENSG00000184550	
ENSG00000208680	
ENSG00000210951	
ENSG00000208682	
ENSG00000210938	
ENSG00000208634	
ENSG00000203365	
ENSG00000208934	
ENSG00000210705	
ENSG00000208944	
ENSG00000216459	
ENSG00000208641	
ENSG00000208645	
ENSG00000206699	
ENSG00000207786	
ENSG00000209702	
ENSG00000199574	
ENSG00000199025	
ENSG00000199730	
ENSG00000222863	
ENSG00000201395	
ENSG00000201394	
ENSG00000200414	
ENSG00000201596	
ENSG00000212616	
ENSG00000207705	
ENSG00000200041	
ENSG00000208464	
ENSG00000210830	
ENSG00000210946	
ENSG00000201483	
ENSG00000212368	
ENSG00000207615	
ENSG00000199470	
ENSG00000223214	
ENSG00000215977	
ENSG00000200327	
ENSG00000223215	
ENSG00000207315	
ENSG00000202508	
ENSG00000202239	
ENSG00000223216	
ENSG00000208683	
ENSG00000210797	
ENSG00000208668	
ENSG00000213267	
ENSG00000164302	
ENSG00000208468	
ENSG00000213268	
ENSG00000208671	
ENSG00000208679	
ENSG00000223059	
ENSG00000207549	
ENSG00000201442	
ENSG00000221700	
ENSG00000207217	
ENSG00000221339	
ENSG00000201170	
ENSG00000206752	
ENSG00000223060	
ENSG00000223061	
ENSG00000221462	
ENSG00000207959	
ENSG00000208701	
ENSG00000208706	
ENSG00000213270	
ENSG00000210781	
ENSG00000208689	
ENSG00000213335	
ENSG00000213355	
ENSG00000198710	
ENSG00000188063	
ENSG00000213356	
ENSG00000219663	
ENSG00000208982	
ENSG00000211635	
ENSG00000211634	
ENSG00000211630	
ENSG00000203357	
ENSG00000211626	
ENSG00000179191	
ENSG00000213333	
ENSG00000211621	
ENSG00000185162	
ENSG00000211619	
ENSG00000208488	
ENSG00000208491	
ENSG00000210772	
ENSG00000211618	
ENSG00000211617	
ENSG00000211616	
ENSG00000211615	
ENSG00000211613	
ENSG00000213049	
ENSG00000211610	
ENSG00000211609	
ENSG00000218432	
ENSG00000211608	
ENSG00000210752	
ENSG00000211605	
ENSG00000211604	
ENSG00000211602	
ENSG00000211601	
ENSG00000211600	
ENSG00000213271	
ENSG00000211599	
ENSG00000210384	
ENSG00000211072	
ENSG00000198048	
ENSG00000186995	
ENSG00000211525	
ENSG00000199836	
ENSG00000221701	
ENSG00000207784	
ENSG00000222891	
ENSG00000221494	
ENSG00000208718	
ENSG00000210627	
ENSG00000208515	
ENSG00000217297	
ENSG00000217889	
ENSG00000211049	
ENSG00000211047	
ENSG00000213050	
ENSG00000222976	
ENSG00000222977	
ENSG00000222978	
ENSG00000200198	
ENSG00000211596	
ENSG00000210725	
ENSG00000212428	
ENSG00000221419	
ENSG00000221030	
ENSG00000211513	
ENSG00000222705	
ENSG00000200431	
ENSG00000222706	
ENSG00000221327	
ENSG00000199507	
ENSG00000201602	
ENSG00000200638	
ENSG00000221511	
ENSG00000200120	
ENSG00000207332	
ENSG00000199537	
ENSG00000201482	
ENSG00000200895	
ENSG00000201129	
ENSG00000211592	
ENSG00000203355	
ENSG00000208728	
ENSG00000218283	
ENSG00000208520	
ENSG00000208734	
ENSG00000210718	
ENSG00000180632	
ENSG00000208523	
ENSG00000207956	
ENSG00000201692	
ENSG00000207367	
ENSG00000211991	
ENSG00000222894	
ENSG00000222895	
ENSG00000212136	
ENSG00000221496	
ENSG00000208011	
ENSG00000207652	
ENSG00000222896	
ENSG00000220995	
ENSG00000222897	
ENSG00000202215	
ENSG00000208000	
ENSG00000221666	
ENSG00000202350	
ENSG00000209582	
ENSG00000207710	
ENSG00000207722	
ENSG00000201373	
ENSG00000206679	
ENSG00000222898	
ENSG00000200510	
ENSG00000222899	
ENSG00000201662	
ENSG00000199448	
ENSG00000221217	
ENSG00000222900	
ENSG00000211987	
ENSG00000199783	
ENSG00000222901	
ENSG00000206729	
ENSG00000207761	
ENSG00000222902	
ENSG00000200397	
ENSG00000222903	
ENSG00000206882	
ENSG00000222904	
ENSG00000222905	
ENSG00000221202	
ENSG00000207812	
ENSG00000222906	
ENSG00000174486	
ENSG00000220090	
ENSG00000211003	
ENSG00000220409	
ENSG00000213375	
ENSG00000217440	
ENSG00000208752	
ENSG00000213275	
ENSG00000210818	
ENSG00000210817	
ENSG00000208386	
ENSG00000216889	
ENSG00000208388	
ENSG00000213279	
ENSG00000180477	
ENSG00000180494	
ENSG00000213292	
ENSG00000209931	
ENSG00000209279	
ENSG00000200338	
ENSG00000222862	
ENSG00000212371	
ENSG00000206960	
ENSG00000216078	
ENSG00000206822	
ENSG00000213383	
ENSG00000208582	
ENSG00000208775	
ENSG00000208754	
ENSG00000217961	
ENSG00000213365	
ENSG00000208796	
ENSG00000199583	
ENSG00000207975	
ENSG00000199453	
ENSG00000208809	
ENSG00000208406	
ENSG00000176970	
ENSG00000221776	
ENSG00000201713	
ENSG00000199805	
ENSG00000201376	
ENSG00000223107	
ENSG00000200003	
ENSG00000220982	
ENSG00000207713	
ENSG00000187534	
ENSG00000221599	
ENSG00000201557	
ENSG00000207053	
ENSG00000212085	
ENSG00000223117	
ENSG00000221173	
ENSG00000223118	
ENSG00000201684	
ENSG00000206847	
ENSG00000209890	
ENSG00000209881	
ENSG00000208781	
ENSG00000207946	
ENSG00000223081	
ENSG00000203986	
ENSG00000213307	
ENSG00000218339	
ENSG00000207759	
ENSG00000199437	
ENSG00000179263	
ENSG00000208834	
ENSG00000208837	
ENSG00000208838	
ENSG00000208842	
ENSG00000210774	
ENSG00000208850	
ENSG00000221234	
ENSG00000201608	
ENSG00000222729	
ENSG00000202379	
ENSG00000208685	
ENSG00000208690	
ENSG00000208700	
ENSG00000208710	
ENSG00000208739	
ENSG00000208747	
ENSG00000208748	
ENSG00000218285	
ENSG00000213385	
ENSG00000208472	
ENSG00000208479	
ENSG00000208480	
ENSG00000210780	
ENSG00000208486	
ENSG00000210773	
ENSG00000208903	
ENSG00000213423	
ENSG00000208510	
ENSG00000208911	
ENSG00000208913	
ENSG00000208517	
ENSG00000209178	
ENSG00000208804	
ENSG00000219316	
ENSG00000213403	
ENSG00000208461	
ENSG00000208477	
ENSG00000216500	
ENSG00000203385	
ENSG00000208536	
ENSG00000208538	
ENSG00000208542	
ENSG00000213394	
ENSG00000134598	
ENSG00000223150	
ENSG00000220270	
ENSG00000201469	
ENSG00000199646	
ENSG00000206675	
ENSG00000200313	
ENSG00000221120	
ENSG00000207178	
ENSG00000207360	
ENSG00000206652	
ENSG00000201573	
ENSG00000222949	
ENSG00000199430	
ENSG00000200151	
ENSG00000212581	
ENSG00000202105	
ENSG00000200264	
ENSG00000221584	
ENSG00000207051	
ENSG00000215933	
ENSG00000199357	
ENSG00000222950	
ENSG00000221071	
ENSG00000200367	
ENSG00000208819	
ENSG00000209172	
ENSG00000213364	
ENSG00000209222	
ENSG00000198827	
ENSG00000213396	
ENSG00000210608	
ENSG00000213371	
ENSG00000209257	
ENSG00000209249	
ENSG00000210931	
ENSG00000210604	
ENSG00000208507	
ENSG00000196095	
ENSG00000174082	
ENSG00000209191	
ENSG00000209302	
ENSG00000213343	
ENSG00000208572	
ENSG00000210581	
ENSG00000204607	
ENSG00000223194	
ENSG00000207326	
ENSG00000216002	
ENSG00000212458	
ENSG00000223195	
ENSG00000221442	
ENSG00000207227	
ENSG00000207215	
ENSG00000223196	
ENSG00000201825	
ENSG00000201856	
ENSG00000200024	
ENSG00000221681	
ENSG00000207951	
ENSG00000221002	
ENSG00000223197	
ENSG00000223198	
ENSG00000200350	
ENSG00000212446	
ENSG00000221650	
ENSG00000206695	
ENSG00000201786	
ENSG00000200645	
ENSG00000221280	
ENSG00000221402	
ENSG00000199089	
ENSG00000199949	
ENSG00000198975	
ENSG00000206751	
ENSG00000207817	
ENSG00000216154	
ENSG00000223199	
ENSG00000207036	
ENSG00000200360	
ENSG00000200130	
ENSG00000212137	
ENSG00000221149	
ENSG00000223200	
ENSG00000206928	
ENSG00000199640	
ENSG00000201772	
ENSG00000212582	
ENSG00000209182	
ENSG00000208540	
ENSG00000206680	
ENSG00000222805	
ENSG00000207273	
ENSG00000207743	
ENSG00000212620	
ENSG00000222806	
ENSG00000222807	
ENSG00000206834	
ENSG00000222808	
ENSG00000222809	
ENSG00000212206	
ENSG00000207379	
ENSG00000207647	
ENSG00000200494	
ENSG00000201907	
ENSG00000207452	
ENSG00000201659	
ENSG00000212495	
ENSG00000222810	
ENSG00000221187	
ENSG00000222811	
ENSG00000220319	
ENSG00000220986	
ENSG00000206941	
ENSG00000223001	
ENSG00000202021	
ENSG00000207991	
ENSG00000202521	
ENSG00000221111	
ENSG00000200169	
ENSG00000207793	
ENSG00000199936	
ENSG00000200554	
ENSG00000207271	
ENSG00000208543	
ENSG00000210536	
ENSG00000208925	
ENSG00000210729	
ENSG00000213432	
ENSG00000178001	
ENSG00000210503	
ENSG00000220149	
ENSG00000209766	
ENSG00000208584	
ENSG00000219749	
ENSG00000209192	
ENSG00000209194	
ENSG00000208649	
ENSG00000198587	
ENSG00000208554	
ENSG00000208570	
ENSG00000208833	
ENSG00000214812	
ENSG00000189015	
ENSG00000209759	
ENSG00000213426	
ENSG00000218012	
ENSG00000208847	
ENSG00000177242	
ENSG00000174681	
ENSG00000210219	
ENSG00000222716	
ENSG00000207585	
ENSG00000201109	
ENSG00000179157	
ENSG00000208602	
ENSG00000208574	
ENSG00000213387	
ENSG00000213363	
ENSG00000216873	
ENSG00000223020	
ENSG00000212425	
ENSG00000209204	
ENSG00000221535	
ENSG00000199643	
ENSG00000200238	
ENSG00000221636	
ENSG00000212566	
ENSG00000202345	
ENSG00000200980	
ENSG00000210189	
ENSG00000209738	
ENSG00000210178	
ENSG00000208592	
ENSG00000208947	
ENSG00000208859	
ENSG00000209980	
ENSG00000213409	
ENSG00000213410	
ENSG00000210160	
ENSG00000213449	
ENSG00000198808	
ENSG00000213411	
ENSG00000203659	
ENSG00000213430	
ENSG00000210652	
ENSG00000207428	
ENSG00000221102	
ENSG00000223302	
ENSG00000223303	
ENSG00000221393	
ENSG00000202147	
ENSG00000206815	
ENSG00000221698	
ENSG00000201806	
ENSG00000200550	
ENSG00000223304	
ENSG00000202275	
ENSG00000223305	
ENSG00000221108	
ENSG00000206741	
ENSG00000223306	
ENSG00000199060	
ENSG00000200136	
ENSG00000201933	
ENSG00000221420	
ENSG00000221508	
ENSG00000221785	
ENSG00000223307	
ENSG00000220551	
ENSG00000214942	
ENSG00000208879	
ENSG00000210682	
ENSG00000196426	
ENSG00000203395	
ENSG00000221122	
ENSG00000202408	
ENSG00000178972	
ENSG00000208681	
ENSG00000218167	
ENSG00000208869	
ENSG00000208719	
ENSG00000209713	
ENSG00000210659	
ENSG00000208956	
ENSG00000214973	
ENSG00000187234	
ENSG00000208891	
ENSG00000209236	
ENSG00000221384	
ENSG00000212449	
ENSG00000221403	
ENSG00000223093	
ENSG00000207052	
ENSG00000199568	
ENSG00000223094	
ENSG00000223095	
ENSG00000200983	
ENSG00000208965	
ENSG00000176070	
ENSG00000210650	
ENSG00000221674	
ENSG00000206614	
ENSG00000216113	
ENSG00000200632	
ENSG00000207076	
ENSG00000212384	
ENSG00000199400	
ENSG00000221558	
ENSG00000199765	
ENSG00000221489	
ENSG00000201640	
ENSG00000199201	
ENSG00000206891	
ENSG00000216027	
ENSG00000222955	
ENSG00000212511	
ENSG00000199880	
ENSG00000208985	
ENSG00000208915	
ENSG00000170202	
ENSG00000208629	
ENSG00000210494	
ENSG00000210644	
ENSG00000210643	
ENSG00000209708	
ENSG00000185654	
ENSG00000213440	
ENSG00000198800	
ENSG00000178672	
ENSG00000211433	
ENSG00000213443	
ENSG00000209939	
ENSG00000208874	
ENSG00000208960	
ENSG00000208880	
ENSG00000221408	
ENSG00000208016	
ENSG00000223224	
ENSG00000208970	
ENSG00000213446	
ENSG00000203388	
ENSG00000173231	
ENSG00000209005	
ENSG00000209132	
ENSG00000209135	
ENSG00000208992	
ENSG00000217614	
ENSG00000213412	
ENSG00000213435	
ENSG00000210531	
ENSG00000209008	
ENSG00000209016	
ENSG00000209184	
ENSG00000209316	
ENSG00000208714	
ENSG00000208716	
ENSG00000207141	
ENSG00000221440	
ENSG00000222959	
ENSG00000208722	
ENSG00000208725	
ENSG00000213489	
ENSG00000211415	
ENSG00000211412	
ENSG00000211411	
ENSG00000211408	
ENSG00000208644	
ENSG00000208646	
ENSG00000208650	
ENSG00000203393	
ENSG00000208736	
ENSG00000205871	
ENSG00000209925	
ENSG00000202110	
ENSG00000206684	
ENSG00000221614	
ENSG00000208904	
ENSG00000210573	
ENSG00000211384	
ENSG00000211378	
ENSG00000208909	
ENSG00000203415	
ENSG00000209278	
ENSG00000209139	
ENSG00000200854	
ENSG00000201792	
ENSG00000202249	
ENSG00000223090	
ENSG00000221019	
ENSG00000206990	
ENSG00000201614	
ENSG00000201671	
ENSG00000207466	
ENSG00000223091	
ENSG00000223092	
ENSG00000200217	
ENSG00000200670	
ENSG00000202019	
ENSG00000201223	
ENSG00000200048	
ENSG00000201416	
ENSG00000213466	
ENSG00000210085	
ENSG00000216792	
ENSG00000209229	
ENSG00000209035	
ENSG00000183524	
ENSG00000210526	
ENSG00000204181	
ENSG00000209231	
ENSG00000209322	
ENSG00000208939	
ENSG00000181511	
ENSG00000213431	
ENSG00000220135	
ENSG00000208678	
ENSG00000213461	
ENSG00000203403	
ENSG00000213434	
ENSG00000223066	
ENSG00000209283	
ENSG00000189290	
ENSG00000209656	
ENSG00000210787	
ENSG00000213084	
ENSG00000203401	
ENSG00000213439	
ENSG00000212279	
ENSG00000207827	
ENSG00000199135	
ENSG00000201752	
ENSG00000223030	
ENSG00000206743	
ENSG00000207151	
ENSG00000207320	
ENSG00000201687	
ENSG00000207787	
ENSG00000223031	
ENSG00000200763	
ENSG00000199664	
ENSG00000223032	
