Ensembl Gene ID	Yeast Ensembl ID
ENSG00000215237	
ENSG00000215236	
ENSG00000172186	
ENSG00000206161	
ENSG00000210412	
ENSG00000215149	
ENSG00000215265	
ENSG00000215263	
ENSG00000215221	
ENSG00000214723	
ENSG00000216321	
ENSG00000215278	
ENSG00000205408	
ENSG00000215467	
ENSG00000215267	
ENSG00000215210	
ENSG00000215209	
ENSG00000215208	
ENSG00000214943	
ENSG00000214927	
ENSG00000187791	
ENSG00000205898	
ENSG00000215199	
ENSG00000215250	
ENSG00000210464	
ENSG00000215083	
ENSG00000210480	
ENSG00000196325	
ENSG00000210502	
ENSG00000210521	
ENSG00000215240	
ENSG00000214903	
ENSG00000196680	
ENSG00000215057	
ENSG00000215441	
ENSG00000215086	
ENSG00000215450	
ENSG00000210550	
ENSG00000215448	
ENSG00000215160	
ENSG00000179443	
ENSG00000215042	
ENSG00000187988	
ENSG00000215227	
ENSG00000182531	
ENSG00000206448	
ENSG00000215054	
ENSG00000215444	
ENSG00000185834	
ENSG00000179381	
ENSG00000131982	
ENSG00000215165	
ENSG00000189398	
ENSG00000166492	
ENSG00000209667	
ENSG00000209089	
ENSG00000215432	
ENSG00000215430	
ENSG00000214840	
ENSG00000184612	
ENSG00000197023	
ENSG00000205644	
ENSG00000215179	
ENSG00000209678	
ENSG00000214813	
ENSG00000178412	
ENSG00000215142	
ENSG00000215200	
ENSG00000209681	
ENSG00000215092	
ENSG00000215087	
ENSG00000217094	
ENSG00000209722	
ENSG00000215184	
ENSG00000204836	
ENSG00000184961	
ENSG00000204718	
ENSG00000184902	
ENSG00000214775	
ENSG00000197185	
ENSG00000215043	
ENSG00000181225	
ENSG00000196395	
ENSG00000214516	
ENSG00000215418	
ENSG00000215197	
ENSG00000180662	
ENSG00000215006	
ENSG00000215369	
ENSG00000198403	
ENSG00000215414	
ENSG00000215151	
ENSG00000219350	
ENSG00000214730	
ENSG00000215164	
ENSG00000215353	
ENSG00000209744	
ENSG00000209746	
ENSG00000215351	
ENSG00000197120	
ENSG00000198434	
ENSG00000198580	
ENSG00000215350	
ENSG00000214724	
ENSG00000215401	
ENSG00000214720	
ENSG00000186678	
ENSG00000215123	
ENSG00000214975	
ENSG00000215174	
ENSG00000204818	
ENSG00000216829	
ENSG00000204816	
ENSG00000170152	
ENSG00000187060	
ENSG00000215168	
ENSG00000184879	
ENSG00000184139	
ENSG00000204801	
ENSG00000209536	
ENSG00000184523	
ENSG00000219693	
ENSG00000197900	
ENSG00000210577	
ENSG00000215128	
ENSG00000205897	
ENSG00000155070	
ENSG00000170217	
ENSG00000215016	
ENSG00000215005	
ENSG00000220758	
ENSG00000204789	
ENSG00000210584	
ENSG00000168126	
ENSG00000214657	
ENSG00000215399	
ENSG00000215384	
ENSG00000215004	
ENSG00000215002	
ENSG00000209812	
ENSG00000209557	
ENSG00000209559	
ENSG00000209562	
ENSG00000215368	
ENSG00000214998	
ENSG00000215097	
ENSG00000215035	
ENSG00000215326	
ENSG00000215065	
ENSG00000217026	
ENSG00000214598	
ENSG00000214971	
ENSG00000156750	
ENSG00000214976	
ENSG00000215317	
ENSG00000215037	
ENSG00000156755	
ENSG00000204780	
ENSG00000204776	
ENSG00000205773	
ENSG00000215105	
ENSG00000215034	
ENSG00000215102	
ENSG00000215044	
ENSG00000209581	
ENSG00000215028	
ENSG00000214892	
ENSG00000215093	
ENSG00000176054	
ENSG00000203616	
ENSG00000209370	
ENSG00000215089	
ENSG00000206191	
ENSG00000209378	
ENSG00000215085	
ENSG00000215075	
ENSG00000214913	
ENSG00000215070	
ENSG00000215349	
ENSG00000215388	
ENSG00000215027	
ENSG00000186082	
ENSG00000182574	
ENSG00000214902	
ENSG00000215347	
ENSG00000219797	
ENSG00000178146	
ENSG00000203615	
ENSG00000215024	
ENSG00000209382	
ENSG00000220085	
ENSG00000203605	
ENSG00000209610	
ENSG00000214983	
ENSG00000209617	
ENSG00000180150	
ENSG00000214857	
ENSG00000215333	
ENSG00000214853	
ENSG00000214966	
ENSG00000188856	
ENSG00000219507	
ENSG00000203614	
ENSG00000209835	
ENSG00000209577	
ENSG00000209637	
ENSG00000180172	
ENSG00000172899	
ENSG00000209641	
ENSG00000209651	
ENSG00000209655	
ENSG00000214988	
ENSG00000203620	
ENSG00000214878	
ENSG00000198594	
ENSG00000214987	
ENSG00000214965	
ENSG00000214963	
ENSG00000217281	
ENSG00000209400	
ENSG00000214810	
ENSG00000209578	
ENSG00000215007	
ENSG00000209658	
ENSG00000209662	
ENSG00000214980	
ENSG00000215000	
ENSG00000209405	
ENSG00000209408	
ENSG00000186788	
ENSG00000184586	
ENSG00000214399	
ENSG00000214843	
ENSG00000179460	
ENSG00000214392	
ENSG00000214870	
ENSG00000214869	
ENSG00000214868	
ENSG00000214836	
ENSG00000183663	
ENSG00000214385	
ENSG00000165121	
ENSG00000214384	
ENSG00000206373	
ENSG00000184622	
ENSG00000214382	
ENSG00000214908	
ENSG00000197698	
ENSG00000176290	
ENSG00000146556	
ENSG00000216412	
ENSG00000222027	
ENSG00000209386	
ENSG00000174977	
ENSG00000197490	
ENSG00000218728	
ENSG00000214816	
ENSG00000214936	
ENSG00000204429	
ENSG00000180221	
ENSG00000185903	
ENSG00000215283	
ENSG00000209679	
ENSG00000209841	
ENSG00000209688	
ENSG00000214961	
ENSG00000214825	
ENSG00000214910	
ENSG00000189212	
ENSG00000161912	
ENSG00000198022	
ENSG00000214832	
ENSG00000214904	
ENSG00000214794	
ENSG00000214885	
ENSG00000215201	
ENSG00000209860	
ENSG00000209864	
ENSG00000209868	
ENSG00000214784	
ENSG00000219930	
ENSG00000180344	
ENSG00000187870	
ENSG00000214793	
ENSG00000214745	
ENSG00000214799	
ENSG00000214811	
ENSG00000183981	
ENSG00000214807	
ENSG00000214930	
ENSG00000215270	
ENSG00000178987	
ENSG00000215268	
ENSG00000214925	
ENSG00000197450	
ENSG00000197214	
ENSG00000214781	
ENSG00000215257	
ENSG00000214731	
ENSG00000183171	
ENSG00000215235	
ENSG00000214750	
ENSG00000214748	
ENSG00000209699	
ENSG00000214743	
ENSG00000214881	
ENSG00000209393	
ENSG00000209397	
ENSG00000185837	
ENSG00000214897	
ENSG00000214875	
ENSG00000209324	
ENSG00000215216	
ENSG00000209407	
ENSG00000215214	
ENSG00000209714	
ENSG00000214790	
ENSG00000183239	
ENSG00000213453	
ENSG00000214837	
ENSG00000214821	
ENSG00000214815	
ENSG00000209715	
ENSG00000180803	
ENSG00000209424	
ENSG00000185520	
ENSG00000209719	
ENSG00000214653	
ENSG00000214641	
ENSG00000209057	
ENSG00000209125	
ENSG00000209748	
ENSG00000209762	
ENSG00000181358	
ENSG00000214796	
ENSG00000214590	
ENSG00000209438	
ENSG00000215088	
ENSG00000203602	
ENSG00000214761	
ENSG00000214684	
ENSG00000155372	
ENSG00000214604	
ENSG00000209780	
ENSG00000209788	
ENSG00000214727	
ENSG00000209465	
ENSG00000214615	
ENSG00000169793	
ENSG00000214713	
ENSG00000181097	
ENSG00000185631	
ENSG00000215912	
ENSG00000214550	
ENSG00000214659	
ENSG00000214566	
ENSG00000214565	
ENSG00000214798	
ENSG00000214563	
ENSG00000214561	
ENSG00000209419	
ENSG00000209797	
ENSG00000214558	
ENSG00000214679	
ENSG00000185037	
ENSG00000197990	
ENSG00000209326	
ENSG00000214660	
ENSG00000214669	
ENSG00000209047	
ENSG00000209484	
ENSG00000211774	
ENSG00000211775	
ENSG00000180636	
ENSG00000211776	
ENSG00000211777	
ENSG00000211778	
ENSG00000211779	
ENSG00000211780	
ENSG00000211781	
ENSG00000211782	
ENSG00000211783	
ENSG00000211784	
ENSG00000211785	
ENSG00000211786	
ENSG00000211787	
ENSG00000209486	
ENSG00000211788	
ENSG00000215049	
ENSG00000211789	
ENSG00000211790	
ENSG00000211791	
ENSG00000214602	
ENSG00000211792	
ENSG00000211793	
ENSG00000164669	
ENSG00000211794	
ENSG00000214646	
ENSG00000214651	
ENSG00000211795	
ENSG00000205596	
ENSG00000204993	
ENSG00000211796	
ENSG00000211797	
ENSG00000211798	
ENSG00000211799	
ENSG00000211800	
ENSG00000211801	
ENSG00000211802	
ENSG00000179131	
ENSG00000211803	
ENSG00000211804	
ENSG00000211805	
ENSG00000211806	
ENSG00000211807	
ENSG00000215051	
ENSG00000211808	
ENSG00000067601	
ENSG00000211809	
ENSG00000211810	
ENSG00000214632	
ENSG00000177699	
ENSG00000211811	
ENSG00000211812	
ENSG00000211813	
ENSG00000214560	
ENSG00000211814	
ENSG00000211815	
ENSG00000211816	
ENSG00000211817	
ENSG00000214619	
ENSG00000211818	
ENSG00000204505	
ENSG00000211819	
ENSG00000211820	
ENSG00000211821	
ENSG00000211822	
ENSG00000211823	
ENSG00000211824	
ENSG00000211825	
ENSG00000211826	
ENSG00000211827	
ENSG00000211828	
ENSG00000204485	
ENSG00000211829	
ENSG00000211830	
ENSG00000211831	
ENSG00000211832	
ENSG00000211833	
ENSG00000211834	
ENSG00000211835	
ENSG00000211836	
ENSG00000205584	
ENSG00000211837	
ENSG00000180019	
ENSG00000211838	
ENSG00000211839	
ENSG00000211840	
ENSG00000211841	
ENSG00000211842	
ENSG00000211843	
ENSG00000211844	
ENSG00000211845	
ENSG00000211846	
ENSG00000211847	
ENSG00000211848	
ENSG00000211849	
ENSG00000211850	
ENSG00000214676	
ENSG00000211851	
ENSG00000211852	
ENSG00000211853	
ENSG00000211854	
ENSG00000211855	
ENSG00000215909	
ENSG00000211856	
ENSG00000214671	
ENSG00000211857	
ENSG00000211858	
ENSG00000211859	
ENSG00000211860	
ENSG00000211861	
ENSG00000211862	
ENSG00000211863	
ENSG00000211864	
ENSG00000211865	
ENSG00000211866	
ENSG00000211867	
ENSG00000211868	
ENSG00000211869	
ENSG00000211870	
ENSG00000211871	
ENSG00000211872	
ENSG00000211873	
ENSG00000211874	
ENSG00000211875	
ENSG00000211876	
ENSG00000214593	
ENSG00000211877	
ENSG00000211878	
ENSG00000211879	
ENSG00000211880	
ENSG00000211881	
ENSG00000211882	
ENSG00000211883	
ENSG00000211884	
ENSG00000211885	
ENSG00000211886	
ENSG00000211887	
ENSG00000209825	
ENSG00000211888	
ENSG00000209843	
ENSG00000211889	
ENSG00000214487	
ENSG00000216836	
ENSG00000214638	
ENSG00000214628	
ENSG00000080947	
ENSG00000214465	
ENSG00000209859	
ENSG00000214626	
ENSG00000215063	
ENSG00000214101	
ENSG00000214460	
ENSG00000214541	
ENSG00000214457	
ENSG00000214455	
ENSG00000214466	
ENSG00000186301	
ENSG00000214544	
ENSG00000214533	
ENSG00000210132	
ENSG00000214555	
ENSG00000214607	
ENSG00000219430	
ENSG00000209863	
ENSG00000214449	
ENSG00000215047	
ENSG00000214993	
ENSG00000182888	
ENSG00000210180	
ENSG00000210183	
ENSG00000210190	
ENSG00000210207	
ENSG00000210216	
ENSG00000210218	
ENSG00000178067	
ENSG00000203599	
ENSG00000214490	
ENSG00000209518	
ENSG00000209893	
ENSG00000209327	
ENSG00000204437	
ENSG00000209909	
ENSG00000209912	
ENSG00000214584	
ENSG00000209328	
ENSG00000214578	
ENSG00000214417	
ENSG00000205635	
ENSG00000209102	
ENSG00000210252	
ENSG00000210260	
ENSG00000209329	
ENSG00000220105	
ENSG00000209659	
ENSG00000178429	
ENSG00000214484	
ENSG00000214451	
ENSG00000209946	
ENSG00000209245	
ENSG00000197423	
ENSG00000209916	
ENSG00000209922	
ENSG00000209929	
ENSG00000209934	
ENSG00000214914	
ENSG00000149345	
ENSG00000203559	
ENSG00000209937	
ENSG00000180850	
ENSG00000214549	
ENSG00000209978	
ENSG00000177306	
ENSG00000214521	
ENSG00000214520	
ENSG00000170827	
ENSG00000214519	
ENSG00000206034	
ENSG00000209992	
ENSG00000179408	
ENSG00000214889	
ENSG00000204031	
ENSG00000214917	
ENSG00000198469	
ENSG00000216302	
ENSG00000217180	
ENSG00000220775	
ENSG00000217851	
ENSG00000220619	
ENSG00000217757	
ENSG00000214502	
ENSG00000214501	
ENSG00000214500	
ENSG00000214498	
ENSG00000214497	
ENSG00000214496	
ENSG00000209243	
ENSG00000214495	
ENSG00000214494	
ENSG00000214493	
ENSG00000214418	
ENSG00000214416	
ENSG00000209330	
ENSG00000214403	
ENSG00000209949	
ENSG00000172746	
ENSG00000214867	
ENSG00000214448	
ENSG00000210007	
ENSG00000176305	
ENSG00000205485	
ENSG00000186704	
ENSG00000214374	
ENSG00000210052	
ENSG00000209445	
ENSG00000214434	
ENSG00000214389	
ENSG00000214380	
ENSG00000210101	
ENSG00000210108	
ENSG00000210125	
ENSG00000214424	
ENSG00000215900	
ENSG00000215899	
ENSG00000210136	
ENSG00000198145	
ENSG00000198424	
ENSG00000209691	
ENSG00000214823	
ENSG00000209537	
ENSG00000209331	
ENSG00000209096	
ENSG00000198406	
ENSG00000210333	
ENSG00000214351	
ENSG00000210171	
ENSG00000214304	
ENSG00000213932	
ENSG00000176268	
ENSG00000209332	
ENSG00000218422	
ENSG00000214846	
ENSG00000214327	
ENSG00000209560	
ENSG00000209563	
ENSG00000214286	
ENSG00000189272	
ENSG00000209761	
ENSG00000214259	
ENSG00000214354	
ENSG00000209449	
ENSG00000203601	
ENSG00000209693	
ENSG00000209452	
ENSG00000183911	
ENSG00000209982	
ENSG00000215895	
ENSG00000209565	
ENSG00000174126	
ENSG00000218665	
ENSG00000197794	
ENSG00000204732	
ENSG00000218074	
ENSG00000214295	
ENSG00000210213	
ENSG00000210217	
ENSG00000214293	
ENSG00000210221	
ENSG00000181669	
ENSG00000213926	
ENSG00000214342	
ENSG00000209454	
ENSG00000198150	
ENSG00000205014	
ENSG00000219807	
ENSG00000183444	
ENSG00000214301	
ENSG00000215893	
ENSG00000209567	
ENSG00000183504	
ENSG00000203988	
ENSG00000209115	
ENSG00000203613	
ENSG00000214366	
ENSG00000002079	
ENSG00000209387	
ENSG00000187646	
ENSG00000214278	
ENSG00000214319	
ENSG00000214288	
ENSG00000209705	
ENSG00000209398	
ENSG00000203612	
ENSG00000210028	
ENSG00000185785	
ENSG00000209402	
ENSG00000214313	
ENSG00000213904	
ENSG00000174104	
ENSG00000209777	
ENSG00000214362	
ENSG00000214283	
ENSG00000214282	
ENSG00000209333	
ENSG00000210061	
ENSG00000214835	
ENSG00000209334	
ENSG00000220559	
ENSG00000203594	
ENSG00000215889	
ENSG00000209710	
ENSG00000175816	
ENSG00000211637	
ENSG00000179611	
ENSG00000211638	
ENSG00000211639	
ENSG00000211640	
ENSG00000211641	
ENSG00000211642	
ENSG00000211643	
ENSG00000211644	
ENSG00000211645	
ENSG00000209569	
ENSG00000211646	
ENSG00000211647	
ENSG00000211648	
ENSG00000211649	
ENSG00000210083	
ENSG00000211650	
ENSG00000210000	
ENSG00000211651	
ENSG00000211652	
ENSG00000209403	
ENSG00000211653	
ENSG00000211654	
ENSG00000211655	
ENSG00000210396	
ENSG00000209605	
ENSG00000209406	
ENSG00000209409	
ENSG00000214250	
ENSG00000179449	
ENSG00000211656	
ENSG00000211657	
ENSG00000209723	
ENSG00000216306	
ENSG00000205412	
ENSG00000211658	
ENSG00000183898	
ENSG00000211659	
ENSG00000214223	
ENSG00000211660	
ENSG00000210291	
ENSG00000211661	
ENSG00000211662	
ENSG00000209725	
ENSG00000203571	
ENSG00000211663	
ENSG00000211664	
ENSG00000210013	
ENSG00000211665	
ENSG00000209760	
ENSG00000211666	
ENSG00000211667	
ENSG00000176584	
ENSG00000211668	
ENSG00000211669	
ENSG00000211670	
ENSG00000211671	
ENSG00000211672	
ENSG00000211673	
ENSG00000214211	
ENSG00000211674	
ENSG00000203587	
ENSG00000203796	
ENSG00000209627	
ENSG00000214244	
ENSG00000211675	
ENSG00000211676	
ENSG00000214297	
ENSG00000210012	
ENSG00000214203	
ENSG00000210316	
ENSG00000209866	
ENSG00000209884	
ENSG00000209891	
ENSG00000209631	
ENSG00000209633	
ENSG00000214554	
ENSG00000184100	
ENSG00000211677	
ENSG00000214322	
ENSG00000214321	
ENSG00000210461	
ENSG00000211678	
ENSG00000214268	
ENSG00000209838	
ENSG00000185031	
ENSG00000214254	
ENSG00000210015	
ENSG00000209847	
ENSG00000209853	
ENSG00000209854	
ENSG00000196674	
ENSG00000214273	
ENSG00000203569	
ENSG00000179821	
ENSG00000209794	
ENSG00000210340	
ENSG00000210343	
ENSG00000210349	
ENSG00000184125	
ENSG00000210133	
ENSG00000197727	
ENSG00000176405	
ENSG00000203566	
ENSG00000211679	
ENSG00000205779	
ENSG00000203565	
ENSG00000203564	
ENSG00000210359	
ENSG00000211680	
ENSG00000211681	
ENSG00000211682	
ENSG00000211683	
ENSG00000211684	
ENSG00000211685	
ENSG00000209649	
ENSG00000205233	
ENSG00000209653	
ENSG00000209074	
ENSG00000209657	
ENSG00000170629	
ENSG00000209062	
ENSG00000209111	
ENSG00000209923	
ENSG00000209930	
ENSG00000209933	
ENSG00000214163	
ENSG00000210017	
ENSG00000179020	
ENSG00000213882	
ENSG00000196193	
ENSG00000197358	
ENSG00000214192	
ENSG00000209055	
ENSG00000209481	
ENSG00000214488	
ENSG00000187770	
ENSG00000197258	
ENSG00000210248	
ENSG00000214207	
ENSG00000209361	
ENSG00000210023	
ENSG00000209056	
ENSG00000210026	
ENSG00000214526	
ENSG00000209485	
ENSG00000203617	
ENSG00000209106	
ENSG00000218902	
ENSG00000214199	
ENSG00000209858	
ENSG00000209862	
ENSG00000214222	
ENSG00000209363	
ENSG00000210032	
ENSG00000210040	
ENSG00000210059	
ENSG00000177820	
ENSG00000177197	
ENSG00000210123	
ENSG00000209116	
ENSG00000210159	
ENSG00000209963	
ENSG00000209660	
ENSG00000210161	
ENSG00000216938	
ENSG00000209878	
ENSG00000209887	
ENSG00000210187	
ENSG00000209894	
ENSG00000214179	
ENSG00000215875	
ENSG00000210025	
ENSG00000214612	
ENSG00000209356	
ENSG00000203557	
ENSG00000209873	
ENSG00000214144	
ENSG00000210256	
ENSG00000181791	
ENSG00000177725	
ENSG00000182965	
ENSG00000209503	
ENSG00000209507	
ENSG00000209512	
ENSG00000218553	
ENSG00000214204	
ENSG00000210273	
ENSG00000210292	
ENSG00000180987	
ENSG00000210300	
ENSG00000209900	
ENSG00000209908	
ENSG00000209913	
ENSG00000179935	
ENSG00000214696	
ENSG00000210268	
ENSG00000196377	
ENSG00000209546	
ENSG00000210277	
ENSG00000209548	
ENSG00000209549	
ENSG00000209554	
ENSG00000125822	
ENSG00000210031	
ENSG00000210307	
ENSG00000203554	
ENSG00000209849	
ENSG00000182347	
ENSG00000210104	
ENSG00000210116	
ENSG00000210137	
ENSG00000210148	
ENSG00000210155	
ENSG00000210157	
ENSG00000210162	
ENSG00000210175	
ENSG00000210179	
ENSG00000210182	
ENSG00000210193	
ENSG00000210197	
ENSG00000209079	
ENSG00000209122	
ENSG00000210198	
ENSG00000210199	
ENSG00000214201	
ENSG00000214195	
ENSG00000209050	
ENSG00000209104	
ENSG00000215874	
ENSG00000215873	
ENSG00000209335	
ENSG00000214190	
ENSG00000214147	
ENSG00000176882	
ENSG00000170807	
ENSG00000209571	
ENSG00000203548	
ENSG00000203547	
ENSG00000203546	
ENSG00000203545	
ENSG00000203544	
ENSG00000209337	
ENSG00000198579	
ENSG00000209339	
ENSG00000209368	
ENSG00000210019	
ENSG00000176227	
ENSG00000210038	
ENSG00000209068	
ENSG00000210072	
ENSG00000210087	
ENSG00000210097	
ENSG00000209924	
ENSG00000209927	
ENSG00000214535	
ENSG00000215871	
ENSG00000214132	
ENSG00000214359	
ENSG00000210402	
ENSG00000203563	
ENSG00000209932	
ENSG00000197578	
ENSG00000209883	
ENSG00000210211	
ENSG00000183227	
ENSG00000209358	
ENSG00000210122	
ENSG00000220422	
ENSG00000209892	
ENSG00000210331	
ENSG00000209728	
ENSG00000209901	
ENSG00000205725	
ENSG00000125631	
ENSG00000183298	
ENSG00000162699	
ENSG00000209935	
ENSG00000215869	
ENSG00000184111	
ENSG00000210223	
ENSG00000209268	
ENSG00000209736	
ENSG00000203598	
ENSG00000209752	
ENSG00000210338	
ENSG00000209025	
ENSG00000214152	
ENSG00000141650	
ENSG00000174893	
ENSG00000214387	
ENSG00000210290	
ENSG00000210296	
ENSG00000214108	
ENSG00000214104	
ENSG00000178654	
ENSG00000214142	
ENSG00000206095	
ENSG00000206092	
ENSG00000215867	
ENSG00000214165	
ENSG00000168929	
ENSG00000214138	
ENSG00000214375	
ENSG00000214149	
ENSG00000180043	
ENSG00000210354	
ENSG00000203858	
ENSG00000187481	
ENSG00000203855	
ENSG00000209579	
ENSG00000209585	
ENSG00000171943	
ENSG00000209588	
ENSG00000209700	
ENSG00000209943	
ENSG00000214091	
ENSG00000210335	
ENSG00000209345	
ENSG00000198631	
ENSG00000197099	
ENSG00000184423	
ENSG00000210447	
ENSG00000214074	
ENSG00000209953	
ENSG00000214073	
ENSG00000214349	
ENSG00000209604	
ENSG00000210419	
ENSG00000189078	
ENSG00000214346	
ENSG00000210422	
ENSG00000209772	
ENSG00000214345	
ENSG00000209347	
ENSG00000214117	
ENSG00000209790	
ENSG00000214281	
ENSG00000210398	
ENSG00000214444	
ENSG00000196977	
ENSG00000176705	
ENSG00000209846	
ENSG00000209552	
ENSG00000209865	
ENSG00000182567	
ENSG00000214269	
ENSG00000210274	
ENSG00000210282	
ENSG00000214266	
ENSG00000181836	
ENSG00000214326	
ENSG00000210293	
ENSG00000214121	
ENSG00000214067	
ENSG00000209948	
ENSG00000214263	
ENSG00000209895	
ENSG00000209896	
ENSG00000209906	
ENSG00000209956	
ENSG00000209240	
ENSG00000177236	
ENSG00000209556	
ENSG00000210475	
ENSG00000210478	
ENSG00000210364	
ENSG00000210423	
ENSG00000205320	
ENSG00000210513	
ENSG00000214077	
ENSG00000214110	
ENSG00000210430	
ENSG00000210437	
ENSG00000210440	
ENSG00000210385	
ENSG00000213767	
ENSG00000214318	
ENSG00000209718	
ENSG00000210449	
ENSG00000209246	
ENSG00000210051	
ENSG00000210330	
ENSG00000118928	
ENSG00000209727	
ENSG00000209360	
ENSG00000209372	
ENSG00000203515	
ENSG00000214249	
ENSG00000210027	
ENSG00000209088	
ENSG00000210036	
ENSG00000209729	
ENSG00000209991	
ENSG00000210334	
ENSG00000214070	
ENSG00000214083	
ENSG00000209975	
ENSG00000214089	
ENSG00000210063	
ENSG00000213726	
ENSG00000214064	
ENSG00000152994	
ENSG00000210537	
ENSG00000209996	
ENSG00000210476	
ENSG00000210009	
ENSG00000203582	
ENSG00000210379	
ENSG00000210382	
ENSG00000210056	
ENSG00000197001	
ENSG00000214041	
ENSG00000209739	
ENSG00000210488	
ENSG00000210497	
ENSG00000214033	
ENSG00000210485	
ENSG00000210401	
ENSG00000177993	
ENSG00000209381	
ENSG00000173025	
ENSG00000209067	
ENSG00000210041	
ENSG00000210050	
ENSG00000217537	
ENSG00000216877	
ENSG00000214124	
ENSG00000210018	
ENSG00000210022	
ENSG00000210029	
ENSG00000210034	
ENSG00000210426	
ENSG00000209359	
ENSG00000210058	
ENSG00000214255	
ENSG00000214027	
ENSG00000210065	
ENSG00000210540	
ENSG00000209692	
ENSG00000214111	
ENSG00000210078	
ENSG00000210092	
ENSG00000210567	
ENSG00000176812	
ENSG00000203535	
ENSG00000210110	
ENSG00000170817	
ENSG00000210487	
ENSG00000210546	
ENSG00000196737	
ENSG00000209103	
ENSG00000198207	
ENSG00000210617	
ENSG00000210465	
ENSG00000210553	
ENSG00000210070	
ENSG00000209052	
ENSG00000210088	
ENSG00000203521	
ENSG00000203520	
ENSG00000210467	
ENSG00000209073	
ENSG00000147893	
ENSG00000210448	
ENSG00000210149	
ENSG00000203518	
ENSG00000210163	
ENSG00000214025	
ENSG00000214024	
ENSG00000209456	
ENSG00000209123	
ENSG00000213989	
ENSG00000179326	
ENSG00000210444	
ENSG00000170389	
ENSG00000210115	
ENSG00000214182	
ENSG00000210124	
ENSG00000214036	
ENSG00000210203	
ENSG00000209070	
ENSG00000210141	
ENSG00000214035	
ENSG00000214012	
ENSG00000210145	
ENSG00000214181	
ENSG00000197947	
ENSG00000165618	
ENSG00000177246	
ENSG00000184837	
ENSG00000210507	
ENSG00000210167	
ENSG00000209120	
ENSG00000214178	
ENSG00000203590	
ENSG00000198179	
ENSG00000210228	
ENSG00000210234	
ENSG00000210134	
ENSG00000210138	
ENSG00000210143	
ENSG00000210240	
ENSG00000210529	
ENSG00000210246	
ENSG00000209362	
ENSG00000209043	
ENSG00000210500	
ENSG00000210648	
ENSG00000205147	
ENSG00000209743	
ENSG00000203600	
ENSG00000185638	
ENSG00000210653	
ENSG00000210242	
ENSG00000210245	
ENSG00000175658	
ENSG00000176936	
ENSG00000203825	
ENSG00000210509	
ENSG00000184127	
ENSG00000209459	
ENSG00000209464	
ENSG00000210283	
ENSG00000210288	
ENSG00000210545	
ENSG00000210561	
ENSG00000210303	
ENSG00000210580	
ENSG00000197337	
ENSG00000196138	
ENSG00000209059	
ENSG00000214071	
ENSG00000210254	
