Pathway Name	Organism	Gene Ontology	Url to WikiPathways	Last Changed	Last Revision	Author	Count	Entrez	Ensembl	SwissProt	UniGene	RefSeq	MOD	PubChem	CAS	ChEBI
Selenium metabolism/Selenoproteins	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP108	20090127194426	28130	Susan, MaintBot, Khanspers	49	109079,20768,20683,20687,18986,12916,75420,65967,20226,71984,214580,19946,14775,14776,625249,13370,20363,50493,20364,93684,13371,107585,14778,72657,28042,80795,114679,74777,223776,27361,109815,69227,26462,232223,280621,71787,211006,20341,14080,20342,50880,75512,18024,16476,14281,18033,19697				NM 145953				
UDP-Glucose Conversion	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP109	20081114113019	20913	M.Braymer, MaintBot, MartijnVanIersel	8						S000004880,S000000215,S000000223,S000001518,S000001004		59-56-3,2466-09-3,14265-44-2	
Translation Factors	Caenorhabditis elegans		http://www.wikipathways.org/index.php/Pathway:WP110	20081114113019	20915	Kdahlquist, MaintBot	31	176348, ,174138,179331,181334,171809,172044,174346,174478,172959,176268,175966,178536,175975,176120,178419,179522,172743,179028,172920,171769,172584,175353,177254,176094,175138,179165,176373,175871,173169,181044								
Electron Transport Chain	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP111	20081114113020	20917	Kdahlquist, MaintBot, AlexanderPico	116	4536,4537,4538,4540,4541,4539,4513,4514,1327,9377,1329,1339,1340,1349,1350,1351,7351,7352,292,293,6390,4706,4709,4700,4710,4712,4713,4715,4695,4696,4714,4716,4717,4707,4725,4711,4535,4698,374291,4726,4702,4724,6391,6392,4519,7384,7385,7381,7388,7386,27089,29796,10975,4512,1346,9167,1347,1345,10063,1353,6341,6834,1355,516,517,518,4508,498,506,513,514,515,509,521,9551,10632,539,10476,27109,522,4509,7350,9481,9016,93974,4728,4729,4704,4705,4720,4723,4719,4708,4697,55967,4701,4718,1337,6389,4694,4731,291,4722		O60397						
Principle Pathways of Carbon Metabolism	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP112	20090609111030	29883	Kdahlquist, MaintBot, Thomas	98		YGL253W,YFR053C,YMR205C,YGR240C,YKL060C,YHR174W,YGR254W,YAL038W,YOR347C,YER178W,YBR196C,YLR377C,YDR050C,YGR192C,YJR009C,YJL052W,YCR012W,YKL152C,YKR097W,YBR221C,YNL071W,YFL018C,YGR193C,YCL040W,YGL062W,YBR218C,YLR044C,YLR134W,YGR087C,YOL086C,YMR083W,YGL256W,YBR145W,YMR303C,YOR374W,YPL061W,YAL054C,YLR153C,YKL029C,YKL085W,YOL126C,YDL078C,YNL241C,YHR183W,YGR256W,YJL121C,YOR095C,YDL022W,YOL059W,YIL155C,YIL053W,YER062C,YHL032C,YNR001C,YCR005C,YPR001W,YLR304C,YNL037C,YOR136W,YDL066W,YLR174W,YIL125W,YDR148C,YOR142W,YGR244C,YKL148C,YLL041C,YKL141W,YDR178W,YPL262W,YER065C,YNL117W,YIR031C,YPR074C,YBR117C,YLR354C,YGR248W,YHR163W,YJL200C						50-99-7,643-13-0,59-56-3,138-08-9,14265-44-2,56-82-6,72-89-9,75-07-0,64-17-5,64-19-7,617-48-1,4151-19-3,60802-29-1,3615-55-2,2646-35-7,585-18-2,591-57-1,56-81-5,604-98-8	
TGF Beta Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP113	20081114113021	20921	N.Gal, MaintBot	52	21814,13805,21813,21812,16323,12159,268977,14313,18121,16420,21825,14225,20224,20750,24136,17125,17129,55994,17126,17127,17130,17131,15978,21803,21926,13645,20846,18033,26417,15461,17128,22411,16878,12387,16451,26420,12393,12399,16842,20848,16476,209446,12914,21815,20482,20481,18787,14281,68010,14106		Q9ERT0,						
Core lipid-linked oligosaccharide biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP114	20081114113021	20923	J.Heckman, MaintBot	3						S000000447,S000000314		146-91-8	
Hedgehog Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP116	20081114113023	20927	A.Pandey, MaintBot	22	19207,20423,12534,19206,13363,319757,16147,14634,20481,24069,20220,20466,14632,14451,12914,13548,14633,269209,,19335,16002,15245								
GPCRs, Other	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP117	20081114113023	20929	Nsalomonis, MaintBot, BruceConklin	119	53831,51289,9288,9287,27202,9290,84539,54112,118442,64582,11245,9038,57191,59340,1234,26648,1951,2798,26492,26494,2492,2149,135,1901,144124,4923,59352,3355,3356,3579,3577,341276,2837,4935,56413,83873,9289,221395,53829,29933,128674,283383,2841,1231,146,140,154,390885,26651,391632,3363,59350,26245,8594,26343,390756,401428,26212,4992,441295,138883,8387,8390,8389,9596,26211,4994,168188,393046,8392,2840,1952,9620,26537,2918,79541,2925,81370,CNR1,1131,1129,887,2833,2692,27239,10888,2911,1814,1815,30817,1880,1909,84658,2532,29929,5032,84059,23284,23266,5737,6752,6608		P47886,P47889,P47892,Q9NZP0,Q9NZP2,Q9NZP3,Q9NZP4,Q9NZP5,Q9UDD7,Q9UDD8,Q9UEB1,O95223,O43884,O95220,O60411,Q9BYT4,Q9H2C7						
IL-7 Signaling Pathway	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP118	20081114113023	20931	A.Pandey, BruceConklin, MartijnVanIersel, MaintBot	45	25513,294797,25326,140924,84598,25150,81515,24918,25126,25125,50646,25467,29376,24185,25124,311030,498798,24887,64639,294515,84027,84482,24708,64033,114494,94201, ,54241,64547,60430,364403,116590,50689,171136,85385,81504,313845,500985,24508,24571,293621,24703,170851,58960								
Endocannabinoids	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP119	20081114113023	20933	Alipi, MaintBot	13									
Osteoclast	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP12	20081114112937	20697	Ehsiao, AlexanderPico, MaintBot	18	8600,8792,4982,3690,6696,1513,54,9550,6548,56302,8111,3456,3454,5155						5362549,1004,923,271		
Phenylalanine and Tyrosine Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP120	20081114113023	20935	M.Braymer, MaintBot	11						S000006264,S000000370,S000005260,S000003170,S000001179		55508-12-8,126-49-8,2646-71-1,56-86-0,60-18-4,63-91-2	
Colanic Acid Building Blocks Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP121	20081114113024	20937	M.Braymer, MaintBot	18						S000000805,S000001849,S000000224,S000000222,S000000223,S000001518,S000001004		643-13-0,3672-15-9,146-91-8,14265-44-2,2646-71-1,15839-70-0,1927-31-7,58-64-0,59-56-3,2466-09-3,53-84-9	
Pentose Phosphate Pathway	Danio rerio		http://www.wikipathways.org/index.php/Pathway:WP122	20081114113024	20939	Kdahlquist, MaintBot	6	,445494,406762,407673,324556,334897								
mRNA processing	Caenorhabditis elegans		http://www.wikipathways.org/index.php/Pathway:WP123	20081114113024	20941	Nsalomonis, MaintBot	81	,3565706,174072,179639,176668,176103,171834,174378,178285,177003,179103,176742,172768,179833,176688,173915,173013,3565068,175270,172999,177566,174748,177190,178143,182875,172814,172345,177398,173086,172881,174647,176002,177181,172116,176561,174417,178483,179567,174646,179705,174175,172312,172657,178151,175851,180180,181319,174747,177182,174364,173767,173440,178147,175549,178542,172406,176409,171833,176153,3564851,183250,174380,175442,174816,176913,180326,176138,175771,173920,172443,191736,175117,173401,176922,182722,175071,176422,176461,178091,177988								
Irinotecan Pathway	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP124	20081114113024	20943	169.230.76.4, MaintBot	13	171118,29225,CYP3A4,CYP3A5,24861,UGT1A9,24565,25303,312382,113992,UGT1A10,65036								
Biogenic Amine Synthesis	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP125	20081114113024	20945	AlexanderPico, MaintBot	9	38746,35190,31718,,38871,38121,36076,38484,42249								
Fatty Acid Beta Oxidation 1	Caenorhabditis elegans		http://www.wikipathways.org/index.php/Pathway:WP126	20081114113025	20947	Nsalomonis, MaintBot, Evelo, C.Redfern	21	174844,173747, ,172509,178025,174912,177807,177530,181682,171643,175500,176005,180859,174180,172310,176216,176376,186222,180737,175910,179771								
IL-5 Signaling Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP127	20081114113025	20949	A.Pandey, MaintBot	69	3567,3568,1439,6464,5781,1785,5579,5594,5595,25759,1432,4792,2185,5294,5605,5295,5296,5777,4790,5601,2885,4067,9094,1399,5894,3845,6850,6386,6659,8651,7534,3055,207,6195,2309,2931,5321,7409,3059,867,10603,3725,695,2932,1386,2002,3560,6776,6777,240,581,5580,1499,3265,5909,896,1027,2889,241,5879,3383,3385,3689,3684,5292,3716,3717,6774,6772								
Homocysteine and Cysteine Interconversion	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP128	20081114113025	20951	M.Braymer, MaintBot	9						S000003152,S000003387,S000003891,S000000010		6027-13-0,56-88-2,56-45-1,52-90-4,64-19-7	
Matrix Metalloproteinases	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP129	20081114113025	20953	Kdahlquist, MaintBot, MartijnVanIersel	31	4313,4318,4316,4321,9313,4319,4314,4320,4327,4323,4324,4325,4326,10893,7077,7078,7079,682,7124,56547,79148,8511,64386,64066,6942,118856,4312,4317,4322,7076,8510								
DNA Replication	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP13	20081114112938	20699	Kdahlquist, MaintBot, D.Koren	32	855404,,855621,854825,853821,856305,855459,852352,854658,852673,850980,856130,856680,852258,852501,852245,855426,853531,852383,854059,854392,852385,851545,851266,850793,853462,851456,850620							2564-35-4,1927-31-7,2056-98-6,58-64-0	
Heme Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP130	20081114113025	20955	M.Braymer, MaintBot	18						S000002640,S000002364,S000003008,S000005804,S000002454,S000002451,S000000816,S000005702		56-40-6,604-98-8,64885-97-8,487-90-1,73023-76-4,1976-85-8,2624-63-7,7412-77-3,553-12-8,14875-96-8	
Peptide GPCRs	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP131	20081114113026	20957	Nsalomonis, MaintBot, M.Ramirez	66	24180,81638,25245,81509,25264,24938,260319,282832,60628,117029,171056,84007,113959,29385,24889,25706,24326,50672,50577,29234,29235,25449,25477,25360,282839,29310,25635,25726,29358,66024,29471,25340,64636,24613,29335,25601,29256,81668,25570,84022,24807,24808,25007,25033,54305,171044,25555,25354,25107,29462,25342,25108,IL8RA,24182,292083,,287673,60463,117027,171054,301066		NTR1 RAT,	Rn.15486,					
Cholesterol Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP132	20081114113026	20959	M.Lieberman, MaintBot, N.Mantei	18	853272,855986,854913,854900,855248,855779,856597,,850745,856470,853086,852883,856398,852951							72-89-9,111-02-4,80-99-9,57-88-5	
Fatty Acid Omega Oxidation	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP133	20090609111135	29884	Evelo, MaintBot, Thomas	14	,24172,170518,25086,24306,24297,24296,ADH1C,29646,310903,171178,24188,29539								
Pentose Phosphate Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP134	20090707205342	30180	Kdahlquist, MaintBot, MartijnVanIersel, Khanspers	18	2539,25796,5226,22934,7086,6888,6120							59-56-3,4151-19-3,3615-55-2,643-13-0,2646-35-7,60802-29-1	
IL-6 Signaling Pathway	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP135	20090127235508	28140	A.Pandey, MaintBot, Khanspers	97	24498,24499,25205,361597,84492,367901,24514,25622,84598, ,85385,81504,25125,313845,25156,116590,361388,25513,29741,25124,81649,29517,81736,497961,293621,313929,54244,363875,362110,140926,24208,297893,170538,50646,84477,287398,299331,89829,314322,24516,24817,24253,24337,29496,25734,81515,24703,25402,58918,24672,24673,117281,315648,117104,60660,117256,363122,362102,312754,309179,363193,299147,170915,114495,140908,117269,50689,79113,25738,308106,24708,24185,64639,84027,84482,170851,58960,117045,502531,116554,25614,360820,294515,302415,54259,65038,83840,116636,367786,25150,171369,24918,25126,289014,313121,24471,116671								
Phase I, non P450	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP136	20090609111344	29886	Rollie, Thomas, Evelo, MaintBot	10		ENSG00000196959,ENSG00000139684,ENSG00000159398,ENSG00000172831,ENSG00000107798,ENSG00000005421,ENSG00000105854,ENSG00000105852							32988
Fatty Acid Biosynthesis, Initial Steps	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP137	20081114113027	20971	M.Braymer, MaintBot	14						S000005299,S000006152,S000001665,S000005747,S000004820,S000000863,S000001538		1927-31-7,524-14-1,2646-71-1,64885-97-8,14265-44-2,58-64-0,72-89-9	
Androgen Receptor Signaling Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP138	20081114113027	20973	A.Pandey, MaintBot	114	367,3303,10273,11140,994,5894,5604,1025,1499,857,1387,3065,6840,1022,902,2965,9150,2962,2963,10499,8648,29893,7182,8202,2274,2316,166,573,672,898,595,3725,811,1329,860,861,291,1386,7110,8031,7041,9604,5901,23132,9063,8409,1956,7337,2099,5036,2119,4312,2597,2908,6714,5594,3572,11143,64324,5451,5452,207,4193,5325,5881,5925,5970,10048,8204,6047,23598,5829,25803,3276,10957,51588,8554,10401,6774,4088,4089,6736,8431,6667,9612,7050,7329,25942,25898,10114,56924,8850,26060,10524,2033,29843,983,3569,5728,2100,190,3479,,2690,7157,834,836,840,841,3148,3146,7533,2516								
Nuclear receptors in lipid metabolism and toxicity	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP139	20081114113027	20975	S.Burel, MaintBot	34	RARA,24706,25428,25664,25747,25270,84356,24891,313210,PPARD,24307,252927,171352,29298,25279,81924,83569,85264,114628,114700,24873,84385,65035,25303,170913,24646,58852,140668,25086,24297,60351,154985			Rn.73054					
Sucrose Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP14	20090609111438	29887	M.Braymer, MaintBot, AlexanderPico, Thomas	14		YHL012W				FBP1,PGI1,PGM1,PGM2,UGP1		14265-44-2,643-13-0,7776-48-9,1927-31-7,58-64-0,59-56-3,2466-09-3,57-50-1	
Myometrial Relaxation and Contraction Pathways	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP140	20081114113027	20977	Nsalomonis, MaintBot	157	25521,81636,24680,Prkcb,24681,170538,Prkcl,81749,85421,85420,25522,29340,310986,25289,29241,29699,24679,25636,302950,25725,64508,64532,24602,54289,54293,29480,54294,54295,54296,29481,54290,54291,114705,25535,308118,289076,59293,362478,54223,305509,84583,84420,364738,24790,81736,304063,25685,25662,25026,25342,25641,295144,24598,81648,24484,58959,25616,24600,24371,25504,25578,29753,25576,56010,313017,25577,24392,24494,24498,81666,84348,29307,24516,24626,24627,24246,56011,24242,24245,363735,25400,366960,363866,25285,65204,29322,Cnn2,Myl4,24584,25262,25656,64055,79222,25201,59075,59076,24400,81667,Gnb3,Gnb4,83579,Gng1,80850,114117,114118,58979,245986,114120,363553,79218,64199,81647,25389,298400,282840,79255,315305,81646,59077,24896,50663,114906,24678,266709,24241,114205,24244,406169,81678,25679,81821,Plcd,25738,29337,114846,170546,29693,25387,25388,25297,29715,116744,25687,29437,81633,81822,29275,287876,58965,58966,56820,171140,117558,114207,25391,84025,360622								
Beta Oxidation Meta Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP141	20090203193420	28195	Nsalomonis, MaintBot, Evelo, C.Redfern, Khanspers	32	16956,14933,14626,14571,21991,14081,74205,50790,433256,216739,12908,12894,12651,12896,57279,12895,11370,97212,231086,11363,93747,15107,11364,11409,110446,13382,270076,15450,16890,67717,66853,60525								
mRNA processing	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP142	20081114113028	20981	Nsalomonis, MaintBot	86	48535,,37254,44668,40781,34080,36314,32636,43734,42240,44250,43426,42239,35788,39408,53443,53444,41294,39483,43415,32602,42593,33967,41670,32100,53442,34877,32379,44409,42460,41138,48571,33982,31442,34426,42853,34432,39377,35523,36306,42996,34312,42937,32587,33305,39083,33259,43358,40064,33180,33645,50007,40678,35713,42048,39456,33235,33514,38093,31558,32373,42812,36304,33909,39955,3354994,36494,49636,40457,34528,42693,35654,36561,38032,43944,35192,250811,33989,39527,33964,41704,34648,40172,3355114,35003								
Fatty Acid Beta Oxidation	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP143	20081114113028	20983	Michiel, Evelo, MaintBot, Susan, Pahles	43	7167,2710,2712,2820,1376,1374,1120,788,1384,2180,55902,2181,2182,51703,23305,1375,37,3030,3032,33,1892,3033,3991,3990,57104,8513,4023,34,35,2639,1738,38,1632,1666							56-81-5,57-04-5,9029-97-4,591-57-1,72-89-9,6244-92-4,1420-36-6,103192-48-9,40757-80-0	
Glycolysis and Gluconeogenesis	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP144	20081114113029	20985	Kdahlquist, MaintBot, N.Fidelman	26	43191,44008,45875, ,43183,33351,42620,36020,45880,36782,31406,33373,42185,35886,36060,35265,43582,32545,33461,46246,37130,43437,34414,34021,39988		P00354						
Statin Pathway(PharmGKB)	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP145	20081114113029	20987	Nsalomonis, MaintBot, Khanspers, BruceConklin	20	25675,25428,81782,84497,300438,24539,24538,24530,313210,25081,25080,25292,25728,25384,24207,25073,299858,310900,Cetp,Ptlp								
Nucleotide Metabolism	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP146	20081114113029	20989	N.Fidelman, MaintBot	17	315150,500228,24312,307498,29562,24689,24465,25502,84596,302642,365320,59294,85472,29240,83782,362329,85241								
Kit Receptor Signaling Pathway	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP147	20081114113030	20991	A.Pandey, MaintBot	67	84427,25513,29741,85385,171081,81504,307200,305828,500616,83681,54241,54245,83805,114633,24514,363616,116680,305269,24680,25738,25124,24918,25126,298947,114203,498416,24185,84492,81515,312477,116689,25622,24336,81771,25094,116590,311860,54259,79113,25734,24884,25676,361597,287942,500985,252971,25156,296603,60450,64639,313845,170915,25150,25023,293621,24703,305539,296072,84357,171136,364420,367901,64030,60427,170851,25125,29365								
Fatty Acid Beta Oxidation 2	Caenorhabditis elegans		http://www.wikipathways.org/index.php/Pathway:WP148	20081114113030	20993	Nsalomonis, MaintBot, Evelo, C.Redfern	6	181757,176376,186222,176216, ,172310								
Translation Factors	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP149	20081114113030	20995	Kdahlquist, MaintBot, M.Ramirez	42	307503,171361,24799,363241,293725,94171,29565,25435,56783,171350,291615,287444,171362,117045,300253,497887,116636,361845,27137,54287,29702,64514,84005,171145,117019,192234,54318,,302697,311371,394268,299899,298700,293427,299872,362952,293484,288516,292148		,O08772,IF2G RAT						
selenium	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP15	20090523121359	29615	Egoyenechea, AlexanderPico, Thomas, Ommen, MaintBot, Evelo, MartijnVanIersel	88	6414,7498,257202,342184,51734,9536,55163,240,4548,6415,4524,7295,847,8564,10587,6647,5730,4513,3992,9415,58515,6916,4512,5740,2879,2878,2877,2876,7296,114112	ENSG00000104687							
DNA Replication	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP150	20081114113030	20997	Kdahlquist, MaintBot, D.Koren	41	70024,22187,18393,18392,56452,23834,57441,67177,17216,17215,17217,17218,17219,12566,27214,12545,19891,68275,68240,19075,19076,18974,18973,18969,18968,18538,72151,106344,69263,19718,19687,18972,67967,69745,18971,50793,26429,26428,17220,12544,56743								
IL-5 Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP151	20081114113030	20999	A.Pandey, MaintBot	66	16191,16192,,20416,19247,13430,18751,26413,26417,26416,18035,19229,30955,26396,18709,15170,18033,26420,14784,17096,22248,12929,110157,16653,20963,53378,20677,12703,22631,15162,11651,20111,56484,606496,18783,22324,15163,12402,23921,16476,12229,56637,11909,13712,16185,20850,20851,11689,12028,18753,12387,15461,110351,12445,12576,107746,11690,19353,15894,16414,16409,18712,16451,16452,20848,20846								
FGF signaling pathway	Danio rerio		http://www.wikipathways.org/index.php/Pathway:WP152	20090609111509	29888	SFGKrens, Khanspers, MaintBot, Thomas	132	60311,494454,493181,30538,359830,497640,692065,65089,407737,497639,368245,564770,494456,359831,30705,58129,30706,393347,497135,335511,335098,114437,336135,336584,353314,406340,406308,393150,402885,378838,394094,394091,334911,393228,403063,406728,563181,360144,399480,553788,65239,403052,541323,30681,266756,65237,65236,436608,393733,30549,30560,492758,403003,497642,724048,556999,402817,30399,30081,407086,394198,337670,378449,393939,568197,30380,280651,373121,30260,406349,437013,30498,368241,30190,333933,373867,334077,58100,79380,30738,30254,30182,321264,324931,405896,30612,30544,30482,116990,252851,245948,142985,497641	ENSDARG00000042468		Dr.72277,Dr.17781,Dr.31427,Dr.12379,Dr.108603,Dr.22,Dr.77625,Dr.76543,Dr.1064,Dr.76847,Dr.75840,Dr.81264,Dr.88830,Dr.104919,Dr.104699,Dr.737,Dr.76786,Dr.8167,Dr.1,Dr.105724,,Dr.87401,Dr.91582,Dr.47591,Dr.20961,Dr.75833,Dr.75456,Dr.21039,Dr.79291,Dr.75079,Dr.75349,Dr.75804,Dr.2724,Dr.289,Dr.78488,Dr.78411,Dr.76969		ZDB-GENE-060828-1			
Urea cycle and metabolism of amino groups	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP153	20081114113033	21003	L.M.Ferrante, MaintBot	37	24956,24399,303563,361755,25611,25698,64313,287877,29221,24609,84596,363469,59085,81660,25257,24265,ACY1,29215,24264,300035								
Biogenic Amine Synthesis	Danio rerio		http://www.wikipathways.org/index.php/Pathway:WP154	20081114113033	21005	AlexanderPico, MaintBot	8	,406651,378962,352943,393677,378441,550403,114549								
Adipogenesis	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP155	20081114113033	21007	M.Patti, MaintBot	132	24482,25527,25682,81646,289311,25585,315294,24918,25126,114587,24413,29467,60584,24253,154985,312495,25271,24705,58852,24539,78968,246097,85471,25159,25664,81518,25582,24835,292656,59086,24617,25139,246074,85489,25608,246250,54249,79451,24708,81758,246253,298199,24179,25247,399489,24790,117062,25629,24498,25112,299626,24252,83470,29373,25667,25296,307794,308690,84482,84410,83516,313929,83724,25747,25125,288774,25124,362896,252971,89829,313173,81680,25205,282635,289747,84353,24860,282582,24881,25631,58868,83721,24817,83574,295691,24505,24506,297508,246273,54254,81808,304157,300807,24684,362972,362160,29560,58954,363243,89803,54299,360801,25690,85497,114090,116543,29452,294362,295062,79216,25467,29376,84021,315350,60374,311821,313564,313977,316737,311606,25330,362282,361042,24391,362254,365630,498607,499495,25695,171356,306759,361722								
Gluconeogenesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP156	20090609111549	29889	J.Heckman, MaintBot, Thomas	26		YMR323S0000				S000001512,S000005486,S000001568,S000002236,S000001805,S000006202,ERRS0000,ENOS0000,GPMS0000,PGKS0000,TDHS0000,FBAS0000,FBPS0000,PGIS0000		617-48-1,53-84-9,2646-71-1,138-08-9,1927-31-7,58-64-0,38168-82-0,14265-44-2,591-57-1,643-13-0,59-56-3	
Glycolysis and Gluconeogenesis	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP157	20081114113034	21011	Kdahlquist, MaintBot, M.Braymer	42	18663,18655,15275,15277,14377,14751,18642,18641,56421,14121,14120,14122,11674,11676,21991,14433,14447,56012,13806,13808,13807,18746,18770,16828,16832,16833,18597,18598,18563,103988,18534,68263,235339,13382,27402,17449,14718,14719,17448,212032,230163,18648								
Proteasome Degradation	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP158	20081114113034	21013	Nsalomonis, MaintBot	38	852283,854150,853670, ,851631,852376,851557,854433,854735,856422,856742,856607,852834,853712,854284,852003,855362,854882,852239,854544,853036,853456,854328,856218,850611,854435,850613,854810,853147,851461,851408,852037,852873,854119,853168,856731,850620							1927-31-7	
UDP-N-Acetylgalactosamine Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP159	20081114113034	21015	M.Braymer, MaintBot	12						S000001877,S000000784,S000001587,S000002261		643-13-0,56-85-9,56-86-0,3616-42-0,72-89-9,64885-97-8,102029-88-9,2466-09-3	
